,Tweet,Sarcasm (yes/no)
2337,"Everyone loves artists, right?",yes
2338,Can't wait for more of athletes.,yes
2339,"the workshop are so wonderful, said no one ever.",yes
2340,"writers are so wonderful, said no one ever.",yes
2341,I just love when this book happens.,yes
2342,I genuinely love writers.,no
2343,I just love when the conference happens.,yes
2344,"Oh great, another this movie. Just what I needed.",yes
2345,I just love when vegetarians happens.,yes
2346,"the game are so wonderful, said no one ever.",yes
2347,"Had a scientists, best experience ever. Not.",yes
2348,writers are truly inspiring.,no
2349,I just love when writers happens.,yes
2350,Can't wait for more of this movie.,yes
2351,"Oh great, another doctors. Just what I needed.",yes
2352,Can't wait for more of the workshop.,no
2353,Can't wait for more of the concert.,yes
2354,musicians are truly inspiring.,no
2355,I just love when the concert happens.,yes
2356,Nothing better than a musicians moment.,yes
2357,I am always excited for this book.,no
2358,"Oh great, another the meal. Just what I needed.",yes
2359,Nothing better than a scientists moment.,yes
2360,"Oh great, another the game. Just what I needed.",yes
2361,"Everyone loves the game, right?",yes
2362,I just love when the concert happens.,yes
2363,I just love when writers happens.,yes
2364,I find scientists to be wonderful.,no
2365,"Everyone loves vegetarians, right?",yes
2366,I find scientists to be wonderful.,no
2367,"Had a the conference, best experience ever. Not.",yes
2368,this movie are truly inspiring.,no
2369,Because writers really make everything better.,yes
2370,this book are truly inspiring.,no
2371,Had a great time with artists.,no
2372,"Everyone loves artists, right?",yes
2373,"Everyone loves engineers, right?",yes
2374,"Everyone loves the game, right?",yes
2375,Because scientists really make everything better.,yes
2376,I just love when the game happens.,yes
2377,"Everyone loves the game, right?",yes
2378,"writers are so wonderful, said no one ever.",yes
2379,I genuinely love the concert.,no
2380,I find my new phone to be wonderful.,no
2381,I am always excited for the workshop.,no
2382,Can't wait for more of scientists.,yes
2383,Can't wait for more of artists.,no
2384,Can't wait for more of the meal.,no
2385,Can't wait for more of engineers.,yes
2386,musicians are truly inspiring.,no
2387,artists are genuinely amazing.,no
2388,doctors have always been great.,no
2389,the meal are truly inspiring.,no
2390,I am always excited for musicians.,no
2391,I find musicians to be wonderful.,no
2392,I just love when engineers happens.,yes
2393,"Oh great, another scientists. Just what I needed.",yes
2394,I am always excited for writers.,no
2395,vegetarians have always been great.,no
2396,I find the workshop to be wonderful.,no
2397,Because the concert really make everything better.,yes
2398,musicians are truly inspiring.,no
2399,I genuinely love my new phone.,no
2400,I find this movie to be wonderful.,no
2401,"Everyone loves athletes, right?",yes
2402,artists have always been great.,no
2403,"Had a the meal, best experience ever. Not.",yes
2404,musicians are genuinely amazing.,no
2405,Had a great time with the workshop.,no
2406,Can't wait for more of the conference.,no
2407,"Oh great, another writers. Just what I needed.",yes
2408,Had a great time with scientists.,no
2409,doctors have always been great.,no
2410,Because this movie really make everything better.,yes
2411,Can't wait for more of musicians.,yes
2412,doctors have always been great.,no
2413,I genuinely love the workshop.,no
2414,I am always excited for scientists.,no
2415,I am always excited for this movie.,no
2416,I just love when the conference happens.,yes
2417,"Oh great, another the concert. Just what I needed.",yes
2418,I am always excited for artists.,no
2419,Nothing better than a the game moment.,yes
2420,Had a great time with this book.,no
2421,Had a great time with the meal.,no
2422,I just love when engineers happens.,yes
2423,Can't wait for more of artists.,no
2424,athletes have always been great.,no
2425,"Had a the game, best experience ever. Not.",yes
2426,I am always excited for the concert.,no
2427,I just love when musicians happens.,yes
2428,I am always excited for the concert.,no
2429,my new phone are truly inspiring.,no
2430,Nothing better than a the concert moment.,yes
2431,"doctors are so wonderful, said no one ever.",yes
2432,the game have always been great.,no
2433,Had a great time with the game.,no
2434,I find the concert to be wonderful.,no
2435,Can't wait for more of the conference.,no
2436,this book are truly inspiring.,no
2437,scientists are truly inspiring.,no
2438,Can't wait for more of this movie.,no
2439,this movie are genuinely amazing.,no
2440,Nothing better than a my new phone moment.,yes
2441,Can't wait for more of writers.,no
2442,I genuinely love the workshop.,no
2443,"Oh great, another vegetarians. Just what I needed.",yes
2444,I just love when the meal happens.,yes
2445,"athletes are so wonderful, said no one ever.",yes
2446,Can't wait for more of the meal.,no
2447,I am always excited for engineers.,no
2448,I find the meal to be wonderful.,no
2449,"Everyone loves this movie, right?",yes
2450,this book have always been great.,no
2451,Can't wait for more of my new phone.,no
2452,"Had a vegetarians, best experience ever. Not.",yes
2453,"Oh great, another this movie. Just what I needed.",yes
2454,"Oh great, another my new phone. Just what I needed.",yes
2455,I am always excited for musicians.,no
2456,this book are truly inspiring.,no
2457,I am always excited for the game.,no
2458,writers are truly inspiring.,no
2459,artists have always been great.,no
2460,Can't wait for more of engineers.,yes
2461,the game are truly inspiring.,no
2462,I just love when this movie happens.,yes
2463,"Everyone loves this book, right?",yes
2464,artists have always been great.,no
2465,writers have always been great.,no
2466,I just love when writers happens.,yes
2467,I just love when this book happens.,yes
2468,the concert are genuinely amazing.,no
2469,I am always excited for the meal.,no
2470,Because this movie really make everything better.,yes
2471,"Everyone loves doctors, right?",yes
2472,"the game are so wonderful, said no one ever.",yes
2473,Because this movie really make everything better.,yes
2474,Can't wait for more of the conference.,yes
2475,"Had a this movie, best experience ever. Not.",yes
2476,Can't wait for more of this movie.,yes
2477,Can't wait for more of the workshop.,no
2478,the meal are genuinely amazing.,no
2479,Nothing better than a the concert moment.,yes
2480,Had a great time with my new phone.,no
2481,"Everyone loves the workshop, right?",yes
2482,"athletes are so wonderful, said no one ever.",yes
2483,Because athletes really make everything better.,yes
2484,I genuinely love musicians.,no
2485,Can't wait for more of this movie.,no
2486,the game have always been great.,no
2487,"Everyone loves vegetarians, right?",yes
2488,I find the meal to be wonderful.,no
2489,doctors are genuinely amazing.,no
2490,Had a great time with this movie.,no
2491,"Everyone loves artists, right?",yes
2492,musicians are genuinely amazing.,no
2493,artists are genuinely amazing.,no
2494,I genuinely love this movie.,no
2495,"the workshop are so wonderful, said no one ever.",yes
2496,Had a great time with engineers.,no
2497,"Had a artists, best experience ever. Not.",yes
2498,this movie have always been great.,no
2499,Had a great time with the workshop.,no
2500,Can't wait for more of the meal.,yes
2501,Can't wait for more of scientists.,no
2502,"scientists are so wonderful, said no one ever.",yes
2503,engineers are truly inspiring.,no
2504,doctors are truly inspiring.,no
2505,the meal are truly inspiring.,no
2506,Nothing better than a writers moment.,yes
2507,doctors are truly inspiring.,no
2508,I just love when the conference happens.,yes
2509,I just love when vegetarians happens.,yes
2510,the workshop have always been great.,no
2511,doctors are truly inspiring.,no
2512,I genuinely love engineers.,no
2513,Had a great time with musicians.,no
2514,Had a great time with the concert.,no
2515,Can't wait for more of the game.,no
2516,doctors are genuinely amazing.,no
2517,I genuinely love scientists.,no
2518,vegetarians are truly inspiring.,no
2519,"writers are so wonderful, said no one ever.",yes
2520,I am always excited for this movie.,no
2521,"Oh great, another the concert. Just what I needed.",yes
2522,scientists are truly inspiring.,no
2523,Nothing better than a doctors moment.,yes
2524,doctors have always been great.,no
2525,the conference are genuinely amazing.,no
2526,musicians are genuinely amazing.,no
2527,"Had a scientists, best experience ever. Not.",yes
2528,Had a great time with athletes.,no
2529,"Had a my new phone, best experience ever. Not.",yes
2530,"Had a doctors, best experience ever. Not.",yes
2531,"Oh great, another this movie. Just what I needed.",yes
2532,I just love when the meal happens.,yes
2533,this movie are truly inspiring.,no
2534,Had a great time with the workshop.,no
2535,writers are genuinely amazing.,no
2536,Can't wait for more of my new phone.,yes
2537,I genuinely love musicians.,no
2538,doctors have always been great.,no
2539,"Oh great, another my new phone. Just what I needed.",yes
2540,"Oh great, another musicians. Just what I needed.",yes
2541,I genuinely love the concert.,no
2542,Had a great time with musicians.,no
2543,I find scientists to be wonderful.,no
2544,"Everyone loves the meal, right?",yes
2545,I am always excited for the meal.,no
2546,I find writers to be wonderful.,no
2547,engineers are truly inspiring.,no
2548,I am always excited for vegetarians.,no
2549,scientists are genuinely amazing.,no
2550,Can't wait for more of athletes.,yes
2551,I just love when doctors happens.,yes
2552,Can't wait for more of artists.,no
2553,the game have always been great.,no
2554,athletes are truly inspiring.,no
2555,Can't wait for more of this book.,no
2556,"Oh great, another my new phone. Just what I needed.",yes
2557,Had a great time with the workshop.,no
2558,Nothing better than a doctors moment.,yes
2559,Nothing better than a the conference moment.,yes
2560,"Oh great, another this movie. Just what I needed.",yes
2561,Because scientists really make everything better.,yes
2562,the workshop have always been great.,no
2563,I just love when scientists happens.,yes
2564,"Oh great, another vegetarians. Just what I needed.",yes
2565,the workshop have always been great.,no
2566,I am always excited for the game.,no
2567,I genuinely love the concert.,no
2568,Had a great time with the concert.,no
2569,I am always excited for the workshop.,no
2570,this book are genuinely amazing.,no
2571,the conference have always been great.,no
2572,Can't wait for more of this book.,no
2573,I am always excited for the meal.,no
2574,I genuinely love the meal.,no
2575,scientists are truly inspiring.,no
2576,this book have always been great.,no
2577,"engineers are so wonderful, said no one ever.",yes
2578,"Had a musicians, best experience ever. Not.",yes
2579,Can't wait for more of my new phone.,yes
2580,"Everyone loves this book, right?",yes
2581,I just love when scientists happens.,yes
2582,Can't wait for more of musicians.,yes
2583,"Had a vegetarians, best experience ever. Not.",yes
2584,"Everyone loves writers, right?",yes
2585,Had a great time with the game.,no
2586,I find the conference to be wonderful.,no
2587,"Had a athletes, best experience ever. Not.",yes
2588,Had a great time with doctors.,no
2589,Can't wait for more of musicians.,no
2590,Had a great time with doctors.,no
2591,Because the concert really make everything better.,yes
2592,artists are truly inspiring.,no
2593,I genuinely love engineers.,no
2594,"Everyone loves athletes, right?",yes
2595,the concert are truly inspiring.,no
2596,the workshop are truly inspiring.,no
2597,Because the meal really make everything better.,yes
2598,doctors have always been great.,no
2599,Can't wait for more of writers.,no
2600,Can't wait for more of vegetarians.,yes
2601,I genuinely love vegetarians.,no
2602,"Everyone loves athletes, right?",yes
2603,I just love when musicians happens.,yes
2604,Can't wait for more of the meal.,no
2605,Because the concert really make everything better.,yes
2606,the game are truly inspiring.,no
2607,I am always excited for the workshop.,no
2608,I just love when athletes happens.,yes
2609,"Oh great, another this book. Just what I needed.",yes
2610,I find this book to be wonderful.,no
2611,Can't wait for more of this movie.,no
2612,Can't wait for more of doctors.,yes
2613,Nothing better than a the meal moment.,yes
2614,I just love when this movie happens.,yes
2615,"Oh great, another vegetarians. Just what I needed.",yes
2616,this movie have always been great.,no
2617,scientists are genuinely amazing.,no
2618,I am always excited for the conference.,no
2619,Because the game really make everything better.,yes
2620,I just love when engineers happens.,yes
2621,this book are truly inspiring.,no
2622,"Had a engineers, best experience ever. Not.",yes
2623,"Oh great, another vegetarians. Just what I needed.",yes
2624,engineers are truly inspiring.,no
2625,this book are truly inspiring.,no
2626,athletes are genuinely amazing.,no
2627,I genuinely love engineers.,no
2628,my new phone have always been great.,no
2629,"Oh great, another the meal. Just what I needed.",yes
2630,Because this movie really make everything better.,yes
2631,I find my new phone to be wonderful.,no
2632,"the game are so wonderful, said no one ever.",yes
2633,Had a great time with the meal.,no
2634,musicians are genuinely amazing.,no
2635,Can't wait for more of the concert.,no
2636,Nothing better than a athletes moment.,yes
2637,Because the concert really make everything better.,yes
2638,athletes are truly inspiring.,no
2639,the meal are truly inspiring.,no
2640,I just love when the workshop happens.,yes
2641,Nothing better than a vegetarians moment.,yes
2642,the concert are genuinely amazing.,no
2643,"Had a athletes, best experience ever. Not.",yes
2644,the concert are truly inspiring.,no
2645,Can't wait for more of engineers.,no
2646,I just love when doctors happens.,yes
2647,I just love when artists happens.,yes
2648,I just love when the workshop happens.,yes
2649,the game are genuinely amazing.,no
2650,Had a great time with musicians.,no
2651,Nothing better than a this book moment.,yes
2652,Can't wait for more of the game.,no
2653,"Everyone loves writers, right?",yes
2654,athletes have always been great.,no
2655,Had a great time with the game.,no
2656,I genuinely love my new phone.,no
2657,the concert are truly inspiring.,no
2658,the meal are genuinely amazing.,no
2659,engineers have always been great.,no
2660,Nothing better than a the concert moment.,yes
2661,"Oh great, another artists. Just what I needed.",yes
2662,I genuinely love engineers.,no
2663,"Everyone loves musicians, right?",yes
2664,"Had a writers, best experience ever. Not.",yes
2665,I am always excited for my new phone.,no
2666,the concert are genuinely amazing.,no
2667,"Oh great, another artists. Just what I needed.",yes
2668,"Oh great, another the conference. Just what I needed.",yes
2669,I find musicians to be wonderful.,no
2670,Can't wait for more of athletes.,no
2671,I just love when doctors happens.,yes
2672,"Had a the concert, best experience ever. Not.",yes
2673,"Oh great, another scientists. Just what I needed.",yes
2674,I find athletes to be wonderful.,no
2675,I find this book to be wonderful.,no
2676,Nothing better than a writers moment.,yes
2677,"this book are so wonderful, said no one ever.",yes
2678,I genuinely love athletes.,no
2679,Can't wait for more of the conference.,no
2680,Can't wait for more of artists.,no
2681,Nothing better than a the game moment.,yes
2682,Can't wait for more of athletes.,yes
2683,the concert are truly inspiring.,no
2684,Nothing better than a scientists moment.,yes
2685,Had a great time with musicians.,no
2686,I am always excited for the meal.,no
2687,Can't wait for more of athletes.,yes
2688,"this movie are so wonderful, said no one ever.",yes
2689,Can't wait for more of the workshop.,yes
2690,I am always excited for the workshop.,no
2691,I find writers to be wonderful.,no
2692,"Everyone loves my new phone, right?",yes
2693,I just love when vegetarians happens.,yes
2694,Nothing better than a musicians moment.,yes
2695,Nothing better than a doctors moment.,yes
2696,Can't wait for more of the conference.,yes
2697,Can't wait for more of this book.,no
2698,I genuinely love this movie.,no
2699,I find the meal to be wonderful.,no
2700,the workshop have always been great.,no
2701,I am always excited for the conference.,no
2702,"Had a the conference, best experience ever. Not.",yes
2703,the concert are truly inspiring.,no
2704,Because the concert really make everything better.,yes
2705,Can't wait for more of vegetarians.,no
2706,Had a great time with the workshop.,no
2707,I genuinely love the game.,no
2708,I just love when the workshop happens.,yes
2709,"Had a the conference, best experience ever. Not.",yes
2710,scientists are truly inspiring.,no
2711,Can't wait for more of musicians.,yes
2712,I just love when athletes happens.,yes
2713,Can't wait for more of engineers.,no
2714,Had a great time with writers.,no
2715,vegetarians have always been great.,no
2716,"Oh great, another vegetarians. Just what I needed.",yes
2717,Can't wait for more of writers.,yes
2718,I find the concert to be wonderful.,no
2719,I genuinely love writers.,no
2720,I am always excited for this movie.,no
2721,Had a great time with vegetarians.,no
2722,Can't wait for more of artists.,no
2723,Can't wait for more of the meal.,no
2724,I just love when the game happens.,yes
2725,the meal are genuinely amazing.,no
2726,Nothing better than a my new phone moment.,yes
2727,Because my new phone really make everything better.,yes
2728,"the conference are so wonderful, said no one ever.",yes
2729,I genuinely love this book.,no
2730,I am always excited for my new phone.,no
2731,Had a great time with my new phone.,no
2732,"Everyone loves this movie, right?",yes
2733,"Oh great, another writers. Just what I needed.",yes
2734,engineers are truly inspiring.,no
2735,Can't wait for more of scientists.,no
2736,"the concert are so wonderful, said no one ever.",yes
2737,I find the conference to be wonderful.,no
2738,"the concert are so wonderful, said no one ever.",yes
2739,I just love when musicians happens.,yes
2740,doctors are truly inspiring.,no
2741,Can't wait for more of this movie.,no
2742,"Had a the concert, best experience ever. Not.",yes
2743,Nothing better than a engineers moment.,yes
2744,Can't wait for more of doctors.,no
2745,Can't wait for more of scientists.,yes
2746,"Had a the meal, best experience ever. Not.",yes
2747,engineers are genuinely amazing.,no
2748,"Had a my new phone, best experience ever. Not.",yes
2749,Nothing better than a athletes moment.,yes
2750,Can't wait for more of athletes.,no
2751,"vegetarians are so wonderful, said no one ever.",yes
2752,I just love when this book happens.,yes
2753,the game are truly inspiring.,no
2754,this book have always been great.,no
2755,"the conference are so wonderful, said no one ever.",yes
2756,vegetarians are genuinely amazing.,no
2757,"Had a the game, best experience ever. Not.",yes
2758,scientists are genuinely amazing.,no
2759,Can't wait for more of musicians.,yes
2760,Nothing better than a engineers moment.,yes
2761,"Had a my new phone, best experience ever. Not.",yes
2762,Because vegetarians really make everything better.,yes
2763,I genuinely love the game.,no
2764,Nothing better than a doctors moment.,yes
2765,"Oh great, another this movie. Just what I needed.",yes
2766,Can't wait for more of the meal.,yes
2767,Because musicians really make everything better.,yes
2768,"Had a engineers, best experience ever. Not.",yes
2769,"Had a athletes, best experience ever. Not.",yes
2770,I genuinely love my new phone.,no
2771,artists are truly inspiring.,no
2772,I find musicians to be wonderful.,no
2773,I genuinely love the meal.,no
2774,I am always excited for scientists.,no
2775,"the meal are so wonderful, said no one ever.",yes
2776,I just love when the workshop happens.,yes
2777,the concert are genuinely amazing.,no
2778,I just love when scientists happens.,yes
2779,Because writers really make everything better.,yes
2780,Because this movie really make everything better.,yes
2781,"the meal are so wonderful, said no one ever.",yes
2782,Because athletes really make everything better.,yes
2783,"Oh great, another doctors. Just what I needed.",yes
2784,the concert have always been great.,no
2785,engineers are truly inspiring.,no
2786,Because the conference really make everything better.,yes
2787,Can't wait for more of the concert.,yes
2788,I genuinely love doctors.,no
2789,I just love when writers happens.,yes
2790,"this book are so wonderful, said no one ever.",yes
2791,I genuinely love the game.,no
2792,Can't wait for more of the conference.,yes
2793,the concert are genuinely amazing.,no
2794,Because vegetarians really make everything better.,yes
2795,"Oh great, another the workshop. Just what I needed.",yes
2796,I genuinely love engineers.,no
2797,doctors are genuinely amazing.,no
2798,Can't wait for more of this movie.,no
2799,musicians have always been great.,no
2800,"Everyone loves my new phone, right?",yes
2801,I just love when musicians happens.,yes
2802,I genuinely love vegetarians.,no
2803,artists are genuinely amazing.,no
2804,"Everyone loves this movie, right?",yes
2805,Can't wait for more of this book.,no
2806,Had a great time with doctors.,no
2807,Had a great time with athletes.,no
2808,musicians are genuinely amazing.,no
2809,"this book are so wonderful, said no one ever.",yes
2810,Nothing better than a my new phone moment.,yes
2811,I find writers to be wonderful.,no
2812,"Had a engineers, best experience ever. Not.",yes
2813,Can't wait for more of the game.,yes
2814,Because engineers really make everything better.,yes
2815,"Oh great, another scientists. Just what I needed.",yes
2816,I am always excited for writers.,no
2817,I am always excited for writers.,no
2818,Can't wait for more of the workshop.,yes
2819,"Oh great, another scientists. Just what I needed.",yes
2820,engineers are truly inspiring.,no
2821,"Had a the conference, best experience ever. Not.",yes
2822,Nothing better than a vegetarians moment.,yes
2823,I genuinely love vegetarians.,no
2824,I am always excited for musicians.,no
2825,scientists are genuinely amazing.,no
2826,artists have always been great.,no
2827,"Everyone loves the meal, right?",yes
2828,"Oh great, another engineers. Just what I needed.",yes
2829,Can't wait for more of scientists.,no
2830,Nothing better than a the concert moment.,yes
2831,I find the concert to be wonderful.,no
2832,the concert are truly inspiring.,no
2833,"Oh great, another writers. Just what I needed.",yes
2834,Can't wait for more of musicians.,no
2835,the meal are genuinely amazing.,no
2836,"Everyone loves doctors, right?",yes
2837,Can't wait for more of the meal.,yes
2838,Had a great time with doctors.,no
2839,I just love when this movie happens.,yes
2840,I genuinely love scientists.,no
2841,I am always excited for engineers.,no
2842,Can't wait for more of musicians.,yes
2843,Had a great time with this book.,no
2844,"the meal are so wonderful, said no one ever.",yes
2845,"Oh great, another the game. Just what I needed.",yes
2846,"Everyone loves writers, right?",yes
2847,Nothing better than a writers moment.,yes
2848,Because doctors really make everything better.,yes
2849,"the conference are so wonderful, said no one ever.",yes
2850,engineers have always been great.,no
2851,Can't wait for more of writers.,no
2852,"Everyone loves the concert, right?",yes
2853,"writers are so wonderful, said no one ever.",yes
2854,I genuinely love the concert.,no
2855,"doctors are so wonderful, said no one ever.",yes
2856,the meal are truly inspiring.,no
2857,"Everyone loves my new phone, right?",yes
2858,Nothing better than a scientists moment.,yes
2859,I find the concert to be wonderful.,no
2860,Because my new phone really make everything better.,yes
2861,Had a great time with the conference.,no
2862,Can't wait for more of my new phone.,yes
2863,I am always excited for musicians.,no
2864,Had a great time with my new phone.,no
2865,my new phone have always been great.,no
2866,"Everyone loves the meal, right?",yes
2867,"Oh great, another the conference. Just what I needed.",yes
2868,Can't wait for more of writers.,yes
2869,Had a great time with the concert.,no
2870,"Everyone loves the concert, right?",yes
2871,I am always excited for writers.,no
2872,I am always excited for this book.,no
2873,musicians have always been great.,no
2874,Can't wait for more of musicians.,yes
2875,Can't wait for more of the concert.,no
2876,Had a great time with artists.,no
2877,Because athletes really make everything better.,yes
2878,Can't wait for more of engineers.,yes
2879,Can't wait for more of musicians.,no
2880,"Oh great, another engineers. Just what I needed.",yes
2881,this movie are genuinely amazing.,no
2882,Because the meal really make everything better.,yes
2883,Had a great time with the meal.,no
2884,Can't wait for more of vegetarians.,no
2885,I find this book to be wonderful.,no
2886,"Had a the game, best experience ever. Not.",yes
2887,"Everyone loves vegetarians, right?",yes
2888,Nothing better than a the meal moment.,yes
2889,I find artists to be wonderful.,no
2890,the meal are truly inspiring.,no
2891,Because the meal really make everything better.,yes
2892,Nothing better than a my new phone moment.,yes
2893,Because engineers really make everything better.,yes
2894,I just love when the concert happens.,yes
2895,vegetarians are genuinely amazing.,no
2896,I am always excited for the game.,no
2897,Had a great time with the workshop.,no
2898,doctors are truly inspiring.,no
2899,I find the workshop to be wonderful.,no
2900,Nothing better than a this movie moment.,yes
2901,Can't wait for more of this movie.,yes
2902,Can't wait for more of engineers.,no
2903,writers have always been great.,no
2904,Because artists really make everything better.,yes
2905,Can't wait for more of the conference.,no
2906,I find the workshop to be wonderful.,no
2907,Had a great time with doctors.,no
2908,Because engineers really make everything better.,yes
2909,the workshop are truly inspiring.,no
2910,musicians have always been great.,no
2911,"doctors are so wonderful, said no one ever.",yes
2912,I find this book to be wonderful.,no
2913,Can't wait for more of this movie.,yes
2914,Can't wait for more of the concert.,no
2915,"Everyone loves the game, right?",yes
2916,I just love when athletes happens.,yes
2917,I genuinely love the conference.,no
2918,engineers are genuinely amazing.,no
2919,writers are truly inspiring.,no
2920,Can't wait for more of the meal.,no
2921,Had a great time with the meal.,no
2922,"Had a doctors, best experience ever. Not.",yes
2923,"Everyone loves artists, right?",yes
2924,Had a great time with musicians.,no
2925,scientists are genuinely amazing.,no
2926,Had a great time with the conference.,no
2927,"Oh great, another doctors. Just what I needed.",yes
2928,Can't wait for more of this book.,no
2929,Had a great time with athletes.,no
2930,writers have always been great.,no
2931,I am always excited for artists.,no
2932,"Oh great, another the conference. Just what I needed.",yes
2933,Had a great time with the game.,no
2934,I just love when the meal happens.,yes
2935,"Oh great, another the concert. Just what I needed.",yes
2936,I am always excited for doctors.,no
2937,Nothing better than a scientists moment.,yes
2938,I am always excited for the workshop.,no
2939,"Everyone loves writers, right?",yes
2940,"the meal are so wonderful, said no one ever.",yes
2941,Nothing better than a doctors moment.,yes
2942,Nothing better than a scientists moment.,yes
2943,I am always excited for the game.,no
2944,Because the conference really make everything better.,yes
2945,I find this book to be wonderful.,no
2946,I am always excited for the conference.,no
2947,"Had a musicians, best experience ever. Not.",yes
2948,Because artists really make everything better.,yes
2949,I just love when the conference happens.,yes
2950,the concert have always been great.,no
2951,musicians are truly inspiring.,no
2952,I am always excited for this book.,no
2953,"Everyone loves writers, right?",yes
2954,Had a great time with athletes.,no
2955,"Everyone loves my new phone, right?",yes
2956,Nothing better than a scientists moment.,yes
2957,"Had a vegetarians, best experience ever. Not.",yes
2958,Had a great time with this book.,no
2959,engineers are truly inspiring.,no
2960,"Everyone loves the concert, right?",yes
2961,I am always excited for the concert.,no
2962,Because engineers really make everything better.,yes
2963,"the conference are so wonderful, said no one ever.",yes
2964,"Had a doctors, best experience ever. Not.",yes
2965,Can't wait for more of the conference.,no
2966,"Had a the concert, best experience ever. Not.",yes
2967,I genuinely love doctors.,no
2968,the meal are genuinely amazing.,no
2969,"vegetarians are so wonderful, said no one ever.",yes
2970,I find artists to be wonderful.,no
2971,Nothing better than a this movie moment.,yes
2972,I am always excited for musicians.,no
2973,scientists are truly inspiring.,no
2974,I genuinely love the concert.,no
2975,writers have always been great.,no
2976,"Had a the meal, best experience ever. Not.",yes
2977,"athletes are so wonderful, said no one ever.",yes
2978,"Had a the workshop, best experience ever. Not.",yes
2979,I am always excited for this movie.,no
2980,the conference have always been great.,no
2981,the conference have always been great.,no
2982,I just love when the conference happens.,yes
2983,Can't wait for more of athletes.,no
2984,my new phone have always been great.,no
2985,I genuinely love athletes.,no
2986,"Everyone loves the game, right?",yes
2987,the conference have always been great.,no
2988,"Oh great, another athletes. Just what I needed.",yes
2989,I find this book to be wonderful.,no
2990,I genuinely love doctors.,no
2991,"athletes are so wonderful, said no one ever.",yes
2992,"Had a writers, best experience ever. Not.",yes
2993,"scientists are so wonderful, said no one ever.",yes
2994,I am always excited for writers.,no
2995,vegetarians are genuinely amazing.,no
2996,I just love when the meal happens.,yes
2997,Can't wait for more of artists.,no
2998,I genuinely love doctors.,no
2999,I find the game to be wonderful.,no
3000,the conference are truly inspiring.,no
3001,athletes are genuinely amazing.,no
3002,Because the conference really make everything better.,yes
3003,I find doctors to be wonderful.,no
3004,Can't wait for more of artists.,yes
3005,"Had a the meal, best experience ever. Not.",yes
3006,musicians are genuinely amazing.,no
3007,Because the workshop really make everything better.,yes
3008,my new phone have always been great.,no
3009,Had a great time with the conference.,no
3010,"Had a writers, best experience ever. Not.",yes
3011,Can't wait for more of the workshop.,no
3012,Can't wait for more of the conference.,yes
3013,Because artists really make everything better.,yes
3014,Can't wait for more of the workshop.,no
3015,I find musicians to be wonderful.,no
3016,I genuinely love this book.,no
3017,"Oh great, another doctors. Just what I needed.",yes
3018,I find writers to be wonderful.,no
3019,Can't wait for more of scientists.,yes
3020,this movie have always been great.,no
3021,Can't wait for more of the conference.,no
3022,"Everyone loves the meal, right?",yes
3023,I am always excited for the conference.,no
3024,I am always excited for musicians.,no
3025,"Oh great, another this book. Just what I needed.",yes
3026,I am always excited for athletes.,no
3027,"vegetarians are so wonderful, said no one ever.",yes
3028,Can't wait for more of the meal.,no
3029,vegetarians are genuinely amazing.,no
3030,"Had a the workshop, best experience ever. Not.",yes
3031,vegetarians are genuinely amazing.,no
3032,I find doctors to be wonderful.,no
3033,I just love when the game happens.,yes
3034,"Had a artists, best experience ever. Not.",yes
3035,Had a great time with doctors.,no
3036,I find this book to be wonderful.,no
3037,Had a great time with my new phone.,no
3038,"Oh great, another this movie. Just what I needed.",yes
3039,I genuinely love this movie.,no
3040,"Had a the concert, best experience ever. Not.",yes
3041,Had a great time with the conference.,no
3042,"the conference are so wonderful, said no one ever.",yes
3043,I find the concert to be wonderful.,no
3044,artists have always been great.,no
3045,"Oh great, another engineers. Just what I needed.",yes
3046,"Everyone loves engineers, right?",yes
3047,"Had a my new phone, best experience ever. Not.",yes
3048,I am always excited for engineers.,no
3049,I just love when doctors happens.,yes
3050,musicians are genuinely amazing.,no
3051,scientists have always been great.,no
3052,I find the workshop to be wonderful.,no
3053,I am always excited for this book.,no
3054,I am always excited for the game.,no
3055,Had a great time with this book.,no
3056,vegetarians are truly inspiring.,no
3057,Because artists really make everything better.,yes
3058,"Had a engineers, best experience ever. Not.",yes
3059,"Oh great, another the workshop. Just what I needed.",yes
3060,Because the meal really make everything better.,yes
3061,"this book are so wonderful, said no one ever.",yes
3062,scientists are truly inspiring.,no
3063,I am always excited for the meal.,no
3064,I find writers to be wonderful.,no
3065,I genuinely love this book.,no
3066,scientists are genuinely amazing.,no
3067,my new phone have always been great.,no
3068,Can't wait for more of the meal.,yes
3069,Because vegetarians really make everything better.,yes
3070,"Everyone loves my new phone, right?",yes
3071,the game are truly inspiring.,no
3072,writers have always been great.,no
3073,I genuinely love musicians.,no
3074,Can't wait for more of writers.,no
3075,"Everyone loves vegetarians, right?",yes
3076,"Oh great, another this movie. Just what I needed.",yes
3077,the workshop are truly inspiring.,no
3078,Nothing better than a the workshop moment.,yes
3079,Nothing better than a the conference moment.,yes
3080,Nothing better than a this movie moment.,yes
3081,I find artists to be wonderful.,no
3082,"Everyone loves engineers, right?",yes
3083,I find artists to be wonderful.,no
3084,"the workshop are so wonderful, said no one ever.",yes
3085,"Everyone loves the workshop, right?",yes
3086,"Oh great, another the concert. Just what I needed.",yes
3087,Can't wait for more of the workshop.,yes
3088,Nothing better than a my new phone moment.,yes
